CityName,Latitude_x,Temp,Humidity,Cloudiness,WindSpeed,Country,Latitude_y,Long,NorthOrSouth
Rikitea,-23.12,74.84,81,92,19.35,PF,-23.12,-134.97,South
Longyearbyen,78.22,17.6,78,40,2.24,SJ,78.22,15.64,North
Mehamn,71.04,37.13,91,100,25.9,NO,71.04,27.85,North
Nabire,-3.37,76.23,85,100,3.27,ID,-3.37,135.48,South
Te Anau,-45.42,55.51,82,100,7.63,NZ,-45.42,167.72,South
Vanimo,-2.67,78.42,81,6,1.97,PG,-2.67,141.3,South
‘Āhuimanu,21.44,75.2,100,40,3.69,US,21.44,-157.84,North
Watsa,3.04,69.4,96,62,3.06,CD,3.04,29.54,North
Angoulême,45.65,63.0,72,90,8.05,FR,45.65,0.15,North
Lebu,-37.62,51.15,92,100,1.81,CL,-37.62,-73.65,South
Mataura,-46.19,63.0,56,100,14.0,NZ,-46.19,168.86,South
Ponta do Sol,32.67,70.0,60,40,12.75,PT,32.67,-17.1,North
Saint-Philippe,-21.36,73.4,64,0,17.22,RE,-21.36,55.77,South
George Town,5.41,80.6,83,20,5.82,MY,5.41,100.34,North
Santa Rosa,14.31,77.0,94,90,1.12,PH,14.31,121.11,North
Nouadhibou,20.93,78.8,57,80,16.11,MR,20.93,-17.03,North
Jamestown,42.1,44.01,75,90,11.41,US,42.1,-79.24,North
San Andrés,12.58,86.0,79,40,6.93,CO,12.58,-81.7,North
Dikson,73.51,26.91,92,78,6.49,RU,73.51,80.55,North
La Crosse,43.8,33.01,68,1,8.05,US,43.8,-91.24,North
Ozernovskiy,51.5,44.44,84,80,24.23,RU,51.5,156.52,North
Rāhon,31.05,71.73,23,0,4.0,IN,31.05,76.12,North
Ajdabiya,30.76,72.97,60,0,12.64,LY,30.76,20.23,North
Olafsvik,64.89,43.41,74,87,38.16,IS,64.89,-23.71,North
Noumea,-22.28,69.8,83,3,2.24,NC,-22.28,166.46,South
Punta Arenas,-53.15,42.8,81,90,12.75,CL,-53.15,-70.92,South
Okhotsk,59.38,38.8,86,100,14.65,RU,59.38,143.3,North
Korla,41.76,51.62,38,3,6.98,CN,41.76,86.15,North
Nsukka,6.86,80.55,79,81,4.47,NG,6.86,7.39,North
Gouyave,12.16,80.6,83,40,13.87,GD,12.16,-61.73,North
Qaanaaq,77.48,16.74,93,94,10.89,GL,77.48,-69.36,North
Tuktoyaktuk,69.45,12.2,92,5,3.36,CA,69.45,-133.04,North
Vila,42.03,57.0,90,100,21.0,PT,42.03,-8.16,North
Pevek,69.7,25.29,93,0,10.98,RU,69.7,170.31,North
Kamakwie,9.5,87.89,65,85,1.54,SL,9.5,-12.23,North
Albany,42.6,55.0,72,99,10.0,US,42.6,-73.97,North
Port Elizabeth,-33.92,71.01,71,6,4.0,ZA,-33.92,25.57,South
Butaritari,3.07,81.82,69,100,6.29,KI,3.07,172.79,North
Vao,-22.67,73.35,82,1,18.16,NC,-22.67,167.48,South
Ushuaia,-54.8,51.8,50,40,10.29,AR,-54.8,-68.3,South
Saint George,37.1,51.8,43,1,3.36,US,37.1,-113.58,North
Puerto Carreño,6.19,76.23,90,100,2.46,CO,6.19,-67.49,North
Taboga,46.27,61.0,90,88,5.01,IT,46.27,13.11,North
Bredasdorp,-34.53,68.0,77,36,12.75,ZA,-34.53,20.04,South
Lincoln,40.8,32.0,79,90,3.36,US,40.8,-96.67,North
Oneonta,42.45,51.01,84,100,1.01,US,42.45,-75.06,North
Mar del Plata,-38.0,64.4,77,90,6.93,AR,-38.0,-57.56,South
Puerto Ayora,-0.74,75.2,78,75,18.34,EC,-0.74,-90.35,South
The Valley,18.22,87.8,74,20,17.22,AI,18.22,-63.06,North
Atuona,-9.8,78.69,76,3,20.36,PF,-9.8,-139.03,South
Morón,-34.65,75.99,83,75,4.7,AR,-34.65,-58.62,South
Bezenchuk,52.98,50.2,77,55,8.77,RU,52.98,49.43,North
Orotukan,62.27,28.17,96,24,4.16,RU,62.27,151.7,North
Angoram,-4.06,73.67,95,52,1.66,PG,-4.06,144.07,South
Chimbote,-9.09,67.53,71,13,10.69,PE,-9.09,-78.58,South
Yellowknife,62.46,24.8,79,75,11.41,CA,62.46,-114.35,North
Pacific Grove,36.62,59.0,87,90,3.36,US,36.62,-121.92,North
Rincon,32.3,82.0,74,40,2.55,US,32.3,-81.24,North
Matata,-37.88,60.01,99,24,4.16,NZ,-37.88,176.75,South
Bethel,41.37,62.6,93,90,5.82,US,41.37,-73.41,North
Castro,-24.79,72.14,76,92,5.59,BR,-24.79,-50.01,South
Zhangaözen,43.3,54.14,70,71,7.29,KZ,43.3,52.8,North
Mackay,-21.15,75.2,83,69,10.29,AU,-21.15,149.2,South
Bengkulu,-3.8,76.82,86,100,3.96,ID,-3.8,102.27,South
Vila Franca do Campo,37.72,69.8,77,20,24.16,PT,37.72,-25.43,North
Ancud,-41.87,61.0,66,40,13.87,CL,-41.87,-73.82,South
Sørland,67.67,42.96,64,0,14.38,NO,67.67,12.69,North
Katobu,-4.94,76.73,87,48,3.13,ID,-4.94,122.53,South
Constitución,-35.33,61.14,65,2,9.6,CL,-35.33,-72.42,South
Znamenskoye,57.13,26.06,89,5,7.7,RU,57.13,73.83,North
Nanortalik,60.14,33.64,87,2,11.43,GL,60.14,-45.24,North
Lorengau,-2.02,80.87,65,0,5.17,PG,-2.02,147.27,South
Kuito,-12.38,82.4,26,0,11.41,AO,-12.38,16.93,South
Krasnosel'kup,65.7,10.94,96,90,9.26,RU,65.7,82.47,North
Avera,33.19,78.01,73,1,3.36,US,33.19,-82.53,North
Charters Towers,-20.1,72.91,72,100,9.82,AU,-20.1,146.27,South
La Ronge,55.1,21.2,79,90,4.7,CA,55.1,-105.28,North
Laguna,38.42,55.99,87,1,5.82,US,38.42,-121.42,North
La Santisima Trinidad,-14.83,91.4,55,33,20.8,BO,-14.83,-64.9,South
Airai,-8.93,62.76,100,39,0.6,TL,-8.93,125.41,South
Takoradze,4.88,80.89,81,87,10.85,GH,4.88,-1.76,North
Carnarvon,-24.87,69.8,88,0,12.75,AU,-24.87,113.63,South
Port Lincoln,-34.73,53.74,66,99,13.27,AU,-34.73,135.87,South
Lubbock,33.6,50.0,52,20,13.87,US,33.6,-101.83,North
Buchanan,5.88,87.8,74,75,6.93,LR,5.88,-10.05,North
Alofi,-19.06,75.2,88,100,12.75,NU,-19.06,-169.92,South
Saint Paul Harbor,57.79,44.6,87,75,3.36,US,57.79,-152.41,North
Bara,10.37,92.55,28,23,3.87,NG,10.37,10.73,North
Tautira,-17.73,75.2,78,75,5.82,PF,-17.73,-149.15,South
Tandil,-37.32,69.01,66,64,1.99,AR,-37.32,-59.13,South
Nkayi,-4.18,79.83,80,95,3.31,CG,-4.18,13.29,South
Wyndham,37.7,79.0,69,1,6.93,US,37.7,-77.61,North
Zhangjiakou,40.81,45.7,47,81,0.74,CN,40.81,114.88,North
Khandyga,62.67,12.85,94,87,1.05,RU,62.67,135.6,North
Lüderitz,-26.65,65.39,64,0,14.79,NA,-26.65,15.16,South
Rio do Sul,-27.21,81.0,64,99,1.01,BR,-27.21,-49.64,South
Coahuayana Viejo,18.73,78.8,78,40,0.13,MX,18.73,-103.68,North
Fairbanks,64.84,24.01,85,90,3.06,US,64.84,-147.72,North
Chifeng,42.27,44.4,52,70,6.2,CN,42.27,118.96,North
Upernavik,72.79,22.71,95,100,8.21,GL,72.79,-56.15,North
Ambilobe,-13.2,78.22,66,45,2.53,MG,-13.2,49.05,South
Lagoa,39.05,67.05,86,59,27.13,PT,39.05,-27.98,North
Narsaq,60.92,32.0,81,20,1.12,GL,60.92,-46.05,North
Totness,5.88,88.97,60,12,9.84,SR,5.88,-56.32,North
Seoul,37.57,42.8,81,1,2.46,KR,37.57,126.98,North
Thompson,55.74,21.2,73,90,9.17,CA,55.74,-97.86,North
Preobrazheniye,42.9,40.82,66,94,19.46,RU,42.9,133.91,North
Camopi,3.17,98.31,33,14,6.11,GF,3.17,-52.32,North
Nokaneng,-19.67,95.85,13,27,10.98,BW,-19.67,22.27,South
Cabo San Lucas,22.89,82.99,65,5,8.05,MX,22.89,-109.91,North
Miandrivazo,-19.52,86.38,44,84,10.96,MG,-19.52,45.47,South
Fukuechō,32.69,62.78,60,0,15.57,JP,32.69,128.84,North
Mengcheng,33.26,53.65,48,46,5.37,CN,33.26,116.57,North
Deputatsky,69.3,13.05,93,92,8.66,RU,69.3,139.9,North
Mahébourg,-20.41,75.2,69,75,11.41,MU,-20.41,57.7,South
Somerset,40.57,66.99,88,90,3.36,US,40.57,-74.55,North
Atasū,48.68,32.31,78,89,7.56,KZ,48.68,71.64,North
Mandalgovi,45.76,37.13,58,0,6.8,MN,45.76,106.27,North
Magugu,-4.02,81.5,36,69,5.68,TZ,-4.02,35.77,South
Palmira,3.54,73.4,83,40,4.7,CO,3.54,-76.3,North
Bereda,43.27,60.01,94,100,21.0,ES,43.27,-7.54,North
Lovington,32.94,48.0,52,5,11.41,US,32.94,-103.35,North
Ostrovnoy,68.05,32.97,95,100,9.4,RU,68.05,39.51,North
Invermere,50.52,19.0,73,69,1.99,CA,50.52,-116.04,North
Fiumicino,41.77,66.2,77,20,12.75,IT,41.77,12.23,North
Avarua,-21.21,71.6,78,62,8.05,CK,-21.21,-159.78,South
Bubaque,11.28,84.31,73,56,9.69,GW,11.28,-15.83,North
San Buenaventura,27.08,62.64,53,74,3.51,MX,27.08,-101.53,North
Gusau,12.16,92.1,22,95,7.63,NG,12.16,6.66,North
Wewak,-3.55,79.29,77,1,2.21,PG,-3.55,143.63,South
Tual,-5.67,82.6,74,66,8.19,ID,-5.67,132.75,South
Provideniya,64.38,32.25,95,70,16.31,RU,64.38,-173.3,North
Nampula,-15.12,87.8,33,75,5.82,MZ,-15.12,39.27,South
Davila,18.47,78.8,94,90,2.24,PH,18.47,120.58,North
Ust-Kuyga,70.02,7.39,91,0,7.9,RU,70.02,135.6,North
Tigzirt,36.89,68.92,65,3,7.87,DZ,36.89,4.12,North
Port Blair,11.67,81.03,81,47,6.89,IN,11.67,92.75,North
Beringovskiy,63.05,30.61,95,98,20.0,RU,63.05,179.32,North
Lodja,-3.48,83.53,62,94,0.85,CD,-3.48,23.43,South
Mezen',65.85,28.33,99,100,6.76,RU,65.85,44.24,North
Tura,25.52,71.4,98,94,2.89,IN,25.52,90.22,North
Walvis Bay,-22.96,68.0,60,33,17.22,NA,-22.96,14.51,South
Severo-Kuril'sk,50.68,46.63,91,100,29.75,RU,50.68,156.12,North
College,64.86,24.01,78,75,3.02,US,64.86,-147.8,North
Srednekolymsk,67.45,17.2,92,0,3.56,RU,67.45,153.68,North
Los Llanos de Aridane,28.66,73.4,60,40,8.05,ES,28.66,-17.92,North
Ajra,16.12,75.2,88,20,3.36,IN,16.12,74.2,North
Strezhevoy,60.73,17.6,100,40,2.24,RU,60.73,77.59,North
Rosetta,31.4,77.0,53,40,6.93,EG,31.4,30.42,North
Dunedin,-45.87,59.16,59,90,11.74,NZ,-45.87,170.5,South
Port Hedland,-20.32,73.4,83,40,8.05,AU,-20.32,118.57,South
Arraial do Cabo,-22.97,75.2,78,75,23.04,BR,-22.97,-42.03,South
Acarí,-15.43,77.38,40,86,10.6,PE,-15.43,-74.62,South
Cayenne,4.93,87.8,70,75,16.11,GF,4.93,-52.33,North
Clyde River,70.47,17.6,72,75,9.17,CA,70.47,-68.59,North
Kargasok,59.06,18.77,96,9,5.84,RU,59.06,80.86,North
Port Hardy,50.7,37.4,64,20,12.75,CA,50.7,-127.42,North
Varna,43.22,69.01,72,0,3.36,BG,43.22,27.92,North
Biloela,-24.42,67.75,88,81,5.12,AU,-24.42,150.5,South
Topeka,39.05,37.99,64,90,10.29,US,39.05,-95.68,North
Salmās,38.2,50.0,66,0,0.69,IR,38.2,44.77,North
Shimanovsk,52.0,31.68,89,2,10.87,RU,52.0,127.7,North
Kropotkin,45.44,63.0,66,0,3.44,RU,45.44,40.58,North
Sabang,5.89,78.35,89,100,24.83,ID,5.89,95.32,North
Port Alfred,-33.59,70.59,79,2,4.63,ZA,-33.59,26.89,South
Karratha,-20.74,67.98,87,0,12.06,AU,-20.74,116.85,South
North Bend,43.41,53.6,93,90,7.85,US,43.41,-124.22,North
San Patricio,28.02,64.0,59,75,11.41,US,28.02,-97.52,North
Krasnoarmiys'k,48.28,59.88,74,100,6.02,UA,48.28,37.18,North
Cape Town,-33.93,71.01,64,0,9.17,ZA,-33.93,18.42,South
Guerrero Negro,27.98,70.32,69,41,12.35,MX,27.98,-114.06,North
Pitkyaranta,61.57,39.07,78,79,13.24,RU,61.57,31.48,North
Bukama,-9.2,88.68,39,74,3.56,CD,-9.2,25.85,South
Gimli,50.63,28.0,98,0,4.0,CA,50.63,-96.99,North
Bontang,0.13,79.38,84,98,5.26,ID,0.13,117.5,North
Iqaluit,63.75,30.2,74,75,5.82,CA,63.75,-68.51,North
Kailua,21.4,73.4,100,40,4.07,US,21.4,-157.74,North
Maceió,-9.67,86.0,62,40,14.99,BR,-9.67,-35.74,South
Mayo,38.89,75.99,88,90,3.36,US,38.89,-76.51,North
San Cristobal,7.77,87.8,48,40,17.22,VE,7.77,-72.22,North
Guasdualito,7.24,78.49,92,67,7.0,VE,7.24,-70.73,North
Kavaratti,10.57,81.61,76,100,8.88,IN,10.57,72.64,North
Talnakh,69.49,12.2,85,75,13.42,RU,69.49,88.4,North
Haifa,32.82,84.2,37,0,4.7,IL,32.82,34.99,North
Shitanjing,39.23,47.91,51,0,3.83,CN,39.23,106.34,North
Ketchikan,55.34,39.2,50,1,3.36,US,55.34,-131.65,North
Yong’an,39.7,47.86,46,97,2.59,CN,39.7,113.69,North
Nara,34.69,54.0,48,14,9.42,JP,34.69,135.8,North
Tirumullaivāsal,11.23,81.23,80,99,8.61,IN,11.23,79.83,North
Macapá,0.04,93.2,59,40,13.87,BR,0.04,-51.07,North
Wuxue,29.85,53.46,66,9,3.98,CN,29.85,115.55,North
Borogontsy,62.67,10.8,96,41,3.49,RU,62.67,131.17,North
Kamaishi,39.27,50.0,69,8,12.48,JP,39.27,141.88,North
Viedma,-40.81,82.0,47,92,5.01,AR,-40.81,-63.0,South
Chokurdakh,70.63,9.68,96,87,8.88,RU,70.63,147.92,North
Torbay,47.67,48.99,66,75,20.8,CA,47.67,-52.73,North
Taksimo,56.34,22.75,93,7,1.03,RU,56.34,114.88,North
Petropavlovsk-Kamchatskiy,53.05,39.2,93,90,11.18,RU,53.05,158.65,North
Mabaruma,8.2,87.57,66,80,7.23,GY,8.2,-59.78,North
East London,-33.02,75.2,60,0,5.82,ZA,-33.02,27.91,South
Lubumbashi,-11.66,79.75,28,24,1.14,CD,-11.66,27.48,South
Tuatapere,-46.13,63.0,56,100,14.0,NZ,-46.13,167.68,South
Mbini,1.57,82.4,83,40,9.17,GQ,1.57,9.61,North
Karaton,-6.34,80.01,78,40,5.82,ID,-6.34,106.1,South
Sukhumi,43.0,65.73,46,0,4.12,GE,43.0,41.02,North
Mount Gambier,-37.83,44.6,87,90,9.17,AU,-37.83,140.77,South
Koundara,12.48,95.68,36,93,2.82,GN,12.48,-13.3,North
Farafangana,-22.82,72.73,79,15,8.81,MG,-22.82,47.83,South
Salym,60.06,22.98,95,44,7.23,RU,60.06,71.48,North
Finnsnes,69.23,35.6,93,100,14.99,NO,69.23,17.98,North
Quelimane,-17.88,74.88,78,3,7.34,MZ,-17.88,36.89,South
Padang,-0.95,78.49,78,100,1.39,ID,-0.95,100.35,South
Avenal,36.0,61.0,62,2,1.03,US,36.0,-120.13,North
Hanzhong,33.07,58.26,69,1,1.03,CN,33.07,107.03,North
Mincivan,39.03,65.01,47,0,1.66,AZ,39.03,46.72,North
Amilly,47.97,59.0,94,100,1.01,FR,47.97,2.77,North
Hanmer Springs,-42.52,52.3,75,8,7.87,NZ,-42.52,172.82,South
Tiarei,-17.53,75.2,78,75,5.82,PF,-17.53,-149.33,South
Hilo,19.73,73.0,68,75,5.82,US,19.73,-155.09,North
Norman Wells,65.28,14.0,92,20,4.7,CA,65.28,-126.83,North
San Vicente de Cañete,-13.08,68.86,64,65,7.87,PE,-13.08,-76.38,South
Margherita,27.28,69.39,94,91,0.09,IN,27.28,95.68,North
Voznesen'ye,61.01,37.65,80,3,13.8,RU,61.01,35.48,North
Florianópolis,-27.61,79.0,65,75,14.99,BR,-27.61,-48.5,South
Ilulissat,69.22,24.8,58,75,6.93,GL,69.22,-51.1,North
Chui,-33.7,72.32,78,75,8.88,UY,-33.7,-53.46,South
Korem,12.51,62.26,51,59,6.82,ET,12.51,39.52,North
Casablanca,33.59,71.6,68,0,21.92,MA,33.59,-7.62,North
Arti,56.42,39.61,96,100,11.32,RU,56.42,58.53,North
Osakarovka,50.56,29.93,84,93,12.39,KZ,50.56,72.57,North
Phan Thiet,10.93,76.28,86,97,3.6,VN,10.93,108.1,North
Verāval,20.9,82.31,67,23,6.15,IN,20.9,70.37,North
Zaprudnya,56.57,46.4,87,75,4.47,RU,56.57,37.43,North
Sola,-13.88,79.9,82,78,16.6,VU,-13.88,167.55,South
Kuusamo,65.97,24.8,92,75,4.7,FI,65.97,29.18,North
Mesyagutovo,55.53,41.2,94,99,8.93,RU,55.53,58.25,North
Giddarbāha,30.2,72.66,20,0,3.49,IN,30.2,74.67,North
Camacha,33.08,71.6,60,20,13.87,PT,33.08,-16.33,North
Ochamchira,42.71,64.62,53,2,4.34,GE,42.71,41.47,North
Wanning,18.8,76.44,88,100,17.92,CN,18.8,110.4,North
Itoman,26.12,69.8,56,40,4.7,JP,26.12,127.67,North
Kwang Binh,17.48,71.78,72,100,8.5,VN,17.48,106.6,North
El Ejido,36.78,68.0,72,0,11.41,ES,36.78,-2.81,North
Cobija,-11.03,91.4,59,20,13.87,BO,-11.03,-68.77,South
Abu Samrah,35.3,76.46,19,99,8.79,SY,35.3,37.18,North
Goundam,16.41,101.16,8,0,21.74,ML,16.41,-3.67,North
Adrar,20.5,99.7,8,7,10.45,MR,20.5,-10.07,North
Saint-Gabriel,46.3,46.99,65,59,3.0,CA,46.3,-73.38,North
Coalinga,36.14,61.0,67,4,4.0,US,36.14,-120.36,North
Charter Township of Clinton,42.59,45.0,70,20,11.41,US,42.59,-82.92,North
Den Helder,52.96,59.0,77,75,23.04,NL,52.96,4.76,North
Montepuez,-13.13,80.31,51,91,11.23,MZ,-13.13,39.0,South
Pokhara,28.23,66.99,29,0,5.1,NP,28.23,83.98,North
Sitka,57.05,30.2,54,1,4.38,US,57.05,-135.33,North
Bandarbeyla,9.49,78.24,71,59,8.7,SO,9.49,50.81,North
Pisco,-13.7,64.99,88,90,6.93,PE,-13.7,-76.22,South
Vardø,70.37,38.1,92,100,22.46,NO,70.37,31.11,North
São Gotardo,-19.31,66.99,100,100,1.01,BR,-19.31,-46.05,South
Moses Lake,47.13,37.4,69,90,9.17,US,47.13,-119.28,North
Nelson Bay,-32.72,63.0,100,90,3.36,AU,-32.72,152.15,South
Skibbereen,51.55,50.0,71,40,14.99,IE,51.55,-9.27,North
Faanui,-16.48,78.53,69,47,4.27,PF,-16.48,-151.75,South
Campbell River,50.02,32.0,93,5,6.93,CA,50.02,-125.24,North
Luwingu,-10.26,82.53,20,64,3.06,ZM,-10.26,29.93,South
Mitsamiouli,-11.38,79.14,74,2,12.12,KM,-11.38,43.28,South
Nieuw Amsterdam,5.88,91.4,55,40,8.05,SR,5.88,-55.08,North
Pangnirtung,66.15,26.6,86,90,2.24,CA,66.15,-65.71,North
Leningradskiy,69.38,21.27,94,80,4.54,RU,69.38,178.42,North
Codrington,-38.27,47.62,64,98,18.7,AU,-38.27,141.97,South
Nikolskoye,59.7,41.0,82,75,4.47,RU,59.7,30.79,North
Arrondissement de Montbrison,45.67,60.8,63,0,4.7,FR,45.67,4.08,North
Rocha,-34.48,72.01,78,97,6.55,UY,-34.48,-54.33,South
Ayan,56.45,39.33,93,100,23.06,RU,56.45,138.17,North
Kulhudhuffushi,6.62,82.08,75,100,7.58,MV,6.62,73.07,North
Al Bardīyah,31.76,72.21,69,0,14.43,LY,31.76,25.09,North
Karymskoye,51.62,30.72,93,29,1.23,RU,51.62,114.35,North
Tasiilaq,65.61,33.8,69,75,2.24,GL,65.61,-37.64,North
Naze,28.37,69.8,64,40,12.75,JP,28.37,129.48,North
Caesarea,32.52,84.2,37,0,4.7,IL,32.52,34.9,North
Rosarito,32.33,66.99,82,90,5.82,MX,32.33,-117.03,North
Kloulklubed,7.04,77.0,94,75,11.39,PW,7.04,134.26,North
Presidencia Roque Sáenz Peña,-26.79,95.09,41,1,4.52,AR,-26.79,-60.44,South
Bhīmavaram,16.53,77.77,84,35,3.49,IN,16.53,81.53,North
Solnechnyy,50.72,36.5,91,100,15.75,RU,50.72,136.63,North
Alice Springs,-23.7,66.2,48,26,8.05,AU,-23.7,133.88,South
Puerto Maldonado,-12.6,91.4,55,0,9.17,PE,-12.6,-69.18,South
Kismayo,-0.36,80.37,80,80,14.36,SO,-0.36,42.55,South
Waingapu,-9.66,81.05,77,18,2.77,ID,-9.66,120.26,South
Mindelo,16.89,84.2,66,75,28.86,CV,16.89,-24.98,North
Opuwo,-18.06,96.12,12,86,2.71,NA,-18.06,13.84,South
Masuguru,-11.37,90.37,33,48,7.67,TZ,-11.37,38.42,South
Les Escoumins,48.11,40.87,86,100,14.74,CA,48.11,-69.02,North
Marrakesh,31.63,78.8,31,0,5.82,MA,31.63,-8.01,North
Shīeli,44.17,41.47,58,0,7.54,KZ,44.17,66.75,North
Kaitangata,-46.28,52.93,74,100,4.29,NZ,-46.28,169.85,South
Forsytheganj,52.63,52.74,91,100,9.44,BY,52.63,29.73,North
Okitipupa,6.5,81.75,85,100,4.0,NG,6.5,4.78,North
Ternate,0.8,81.75,76,87,1.12,ID,0.8,127.4,North
Monetnyy,57.05,32.0,99,90,6.71,RU,57.05,60.88,North
Tamandaré,-8.76,80.87,66,100,8.48,BR,-8.76,-35.1,South
Władysławowo,54.79,55.99,81,20,10.29,PL,54.79,18.4,North
Urusha,54.05,28.04,96,0,3.53,RU,54.05,122.9,North
Dingle,11.0,75.61,88,100,1.5,PH,11.0,122.67,North
Zhigalovo,54.81,34.11,91,100,2.37,RU,54.81,105.16,North
Taoudenni,22.68,104.13,7,25,9.86,ML,22.68,-3.98,North
Kiunga,-6.12,71.46,98,23,1.25,PG,-6.12,141.29,South
Morozovsk,48.35,57.45,77,100,4.79,RU,48.35,41.83,North
Alyangula,-13.85,82.4,78,40,8.05,AU,-13.85,136.42,South
Fort Nelson,58.81,6.8,84,20,5.82,CA,58.81,-122.7,North
Havelock,34.88,80.01,64,1,3.36,US,34.88,-76.9,North
Berlevåg,70.86,37.96,91,100,26.62,NO,70.86,29.09,North
Saint-Pierre,-21.34,73.4,64,0,17.22,RE,-21.34,55.48,South
Ambatofinandrahana,-20.55,65.07,68,22,8.32,MG,-20.55,46.8,South
São Filipe,14.9,82.63,70,6,12.06,CV,14.9,-24.5,North
Sioux Lookout,50.1,26.6,79,75,5.82,CA,50.1,-91.92,North
Whitehorse,60.72,15.01,85,40,18.34,CA,60.72,-135.05,North
Zonguldak,41.25,62.74,61,0,1.41,TR,41.25,31.83,North
Guánica,17.97,89.01,62,100,4.0,PR,17.97,-66.91,North
Moissac,44.1,66.2,55,0,5.82,FR,44.1,1.09,North
Porto Tolle,44.95,60.01,93,100,1.99,IT,44.95,12.32,North
Caravelas,-17.71,79.83,76,78,10.11,BR,-17.71,-39.25,South
Rupert,42.62,55.4,32,90,16.11,US,42.62,-113.68,North
Praia,14.92,84.2,66,0,19.46,CV,14.92,-23.51,North
Husavik,66.04,42.8,70,90,20.8,IS,66.04,-17.34,North
Killybegs,54.63,50.0,66,20,8.05,IE,54.63,-8.45,North
Jalu,29.03,73.89,37,0,9.19,LY,29.03,21.55,North
São Félix do Xingu,-6.64,90.54,52,83,3.85,BR,-6.64,-51.99,South
Jieshi,22.81,73.99,64,100,1.01,CN,22.81,115.83,North
Lander,42.83,37.0,63,20,4.7,US,42.83,-108.73,North
Mahabalipuram,12.63,82.4,83,75,3.6,IN,12.63,80.17,North
Arawa,-6.21,76.95,79,35,2.91,PG,-6.21,155.54,South
Zhuhai,22.28,75.2,69,20,12.75,CN,22.28,113.57,North
Slave Lake,55.28,17.6,85,90,14.99,CA,55.28,-114.77,North
Tiksi,71.69,12.72,91,66,22.37,RU,71.69,128.87,North
Phek,25.67,56.62,100,80,1.86,IN,25.67,94.5,North
Parabel',58.7,17.38,96,49,6.62,RU,58.7,81.48,North
Merauke,-8.47,78.48,87,7,6.73,ID,-8.47,140.33,South
Bilma,18.69,86.76,12,0,5.82,NE,18.69,12.92,North
Mt. Pleasant,32.79,82.99,74,1,3.74,US,32.79,-79.86,North
Privolnyy,44.1,60.01,61,58,4.09,RU,44.1,46.66,North
Voyvozh,62.89,28.38,99,100,8.95,RU,62.89,54.96,North
Bambous Virieux,-20.34,75.2,69,75,11.41,MU,-20.34,57.76,South
Kedrovyy,56.17,28.4,86,0,6.71,RU,56.17,91.82,North
Norden,53.6,57.2,76,96,12.75,DE,53.6,7.2,North
Golden,39.76,53.01,39,56,0.87,US,39.76,-105.22,North
Bandundu Province,-3.32,82.29,74,70,1.77,CD,-3.32,17.37,South
